genome_accession,base_pairs,AA_length,proteins,KOs_per_genome
GCA_002234495,5857781,1705356,4996,1846
GCA_000143165,1686510,499597,1719,971
GCA_003002095,6972847,2017791,6288,2416
GCA_003144275,3948260,1131281,3556,1414
GCA_001029755,819458,256116,912,370
GCA_003947435,2942065,832320,3207,1323
GCA_000006805,2571010,753773,2694,1191
GCA_000389735,1506462,453766,1666,951
GCA_000193375,1936063,590598,2198,1150
GCA_000303155,2833868,784992,3768,1206
GCA_003663345,951466,248815,1065,371
GCA_000507245,3782798,1142011,3277,1944
GCA_002785505,1498923,370804,1411,728
GCA_000695095,4716552,1453239,3963,1815
GCA_002731115,484604,145938,548,241
GCA_000202835,4214744,1260897,3889,2192
GCA_000817245,2210643,638185,2121,1154
GCA_000152805,4536113,1365105,4421,2301
GCA_900115805,3607666,1025525,3565,1976
GCA_900128475,3949838,1168996,3387,1313
GCA_000014265,7750108,1610660,5431,1846
GCA_000014825,5505494,1568932,4945,2624
GCA_000235685,2052856,609324,2061,1171
